EventLog,RecordNumber,TimeGenerated,TimeWritten,EventID,EventType,EventTypeName,EventCategory,EventCategoryName,SourceName,Strings,ComputerName,SID,Message,Data
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1949,2021-07-01 19:18:24,2021-07-01 19:18:24,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1950,2021-07-01 19:28:29,2021-07-01 19:28:29,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1951,2021-07-01 19:28:30,2021-07-01 19:28:30,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1952,2021-07-02 06:56:41,2021-07-02 06:56:41,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1953,2021-07-02 06:56:41,2021-07-02 06:56:41,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1954,2021-07-04 08:04:59,2021-07-04 08:04:59,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1955,2021-07-04 08:05:10,2021-07-04 08:05:10,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1956,2021-07-04 08:35:35,2021-07-04 08:35:35,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1957,2021-07-04 08:35:35,2021-07-04 08:35:35,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1958,2021-07-04 17:09:42,2021-07-04 17:09:42,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1959,2021-07-04 17:09:47,2021-07-04 17:09:47,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1960,2021-07-04 17:10:32,2021-07-04 17:10:32,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1961,2021-07-04 17:10:32,2021-07-04 17:10:32,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1962,2021-07-04 18:28:07,2021-07-04 18:28:07,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1963,2021-07-04 18:28:09,2021-07-04 18:28:09,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1964,2021-07-05 00:07:05,2021-07-05 00:07:05,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1965,2021-07-05 00:07:06,2021-07-05 00:07:06,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1966,2021-07-05 00:16:40,2021-07-05 00:16:40,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1967,2021-07-05 00:16:42,2021-07-05 00:16:42,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1968,2021-07-05 07:00:29,2021-07-05 07:00:29,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1969,2021-07-05 07:00:29,2021-07-05 07:00:29,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1970,2021-07-05 07:30:43,2021-07-05 07:30:43,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1971,2021-07-05 07:30:44,2021-07-05 07:30:44,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1972,2021-07-05 07:35:14,2021-07-05 07:35:14,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1973,2021-07-05 07:35:15,2021-07-05 07:35:15,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1974,2021-07-05 19:31:54,2021-07-05 19:31:54,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1975,2021-07-05 19:32:07,2021-07-05 19:32:07,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1976,2021-07-05 19:34:09,2021-07-05 19:34:09,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1977,2021-07-05 19:34:09,2021-07-05 19:34:09,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1978,2021-07-06 11:51:50,2021-07-06 11:51:50,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1979,2021-07-06 11:51:59,2021-07-06 11:51:59,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
